SLOT,LAYER,AX_AVG,AX_MIN,AX_MAX,AX_ABS,AY_AVG,AY_MIN,AY_MAX,AY_ABS,BX_AVG,BX_MIN,BX_MAX,BX_ABS,BY_AVG,BY_MIN,BY_MAX,BY_ABS,C_AVG,C_MIN,C_MAX,C_ABS,JUMP_AVG,JUMP_MIN,JUMP_MAX,JUMP_ABS
34,1-2,-13.22,-13.37,-13.12,0.25,70.93,70.86,71.03,0.17,-14.79,-14.95,-14.67,0.27,74.09,74.04,74.15,0.1,3.52,3.47,3.57,0.09,5.93,5.86,6,0.13
34,3-4,-15.22,-15.31,-15.12,0.19,80.01,79.98,80.09,0.11,-16.28,-16.39,-16.1,0.29,83.4,83.33,83.52,0.18,3.55,3.47,3.68,0.2,0,0,0,0
35,1-2,-22.1,-22.3,-21.98,0.32,68.59,68.51,68.67,0.15,-24.29,-24.51,-24.01,0.5,71.41,71.33,71.5,0.17,3.57,3.52,3.62,0.1,6,5.84,6.13,0.29
35,3-4,-25.26,-25.36,-25.18,0.17,77.34,77.23,77.43,0.19,-26.96,-27.07,-26.89,0.17,80.46,80.38,80.55,0.17,3.55,3.41,3.69,0.27,0,0,0,0
36,1-2,-30.93,-31.11,-30.84,0.26,65.16,65.06,65.23,0.17,-33.37,-33.46,-33.2,0.25,67.76,67.64,67.89,0.25,3.56,3.45,3.7,0.25,5.99,5.84,6.07,0.23
36,3-4,-35.16,-35.4,-35.06,0.33,73.48,73.42,73.64,0.21,-37.24,-37.45,-37.02,0.42,76.48,76.41,76.61,0.2,3.64,3.44,3.79,0.35,0,0,0,0
37,1-2,-39.12,-39.19,-39.04,0.14,60.63,60.57,60.7,0.13,-41.87,-41.94,-41.77,0.16,62.85,62.77,63.07,0.29,3.53,3.46,3.6,0.14,5.96,5.82,6.03,0.2
37,3-4,-44.4,-44.56,-44.32,0.24,68.26,68.17,68.37,0.2,-46.73,-46.89,-46.61,0.28,70.92,70.81,71.03,0.21,3.53,3.44,3.61,0.16,0,0,0,0
38,1-2,-46.66,-46.77,-46.56,0.21,55.03,54.85,55.18,0.32,-49.69,-49.81,-49.6,0.21,56.86,56.71,57,0.28,3.53,3.44,3.62,0.18,5.92,5.83,6.01,0.17
38,3-4,-52.9,-53.02,-52.77,0.25,61.85,61.68,61.95,0.27,-55.57,-55.66,-55.48,0.17,64.21,64.08,64.33,0.25,3.57,3.46,3.65,0.18,0,0,0,0
39,1-2,-53.47,-53.54,-53.4,0.14,48.36,48.27,48.44,0.16,-56.79,-56.96,-56.62,0.34,49.78,49.48,50,0.52,3.61,3.51,3.72,0.21,5.9,5.79,6.13,0.33
39,3-4,-60.48,-60.56,-60.37,0.19,54.4,54.3,54.49,0.19,-63.43,-63.51,-63.38,0.12,56.39,56.32,56.5,0.17,3.55,3.45,3.66,0.2,0,0,0,0
40,1-2,-59.22,-59.28,-59.19,0.09,40.97,40.9,41.04,0.14,-62.6,-62.69,-62.51,0.17,41.98,41.87,42.12,0.25,3.52,3.45,3.62,0.16,5.95,5.83,6.13,0.29
40,3-4,-66.98,-67.06,-66.81,0.25,46.01,45.93,46.11,0.17,-70.09,-70.18,-70.01,0.17,47.59,47.52,47.72,0.19,3.48,3.37,3.67,0.29,0,0,0,0
41,1-2,-64.16,-64.23,-64.08,0.15,32.75,32.52,32.86,0.33,-67.68,-67.77,-67.61,0.15,33.49,33.31,33.75,0.43,3.59,3.54,3.68,0.14,5.76,5.67,5.92,0.25
41,3-4,-72.42,-72.52,-72.33,0.18,36.79,36.59,36.9,0.3,-75.8,-75.89,-75.62,0.26,38.01,37.71,38.15,0.44,3.6,3.41,3.74,0.33,0,0,0,0
42,1-2,-67.92,-67.98,-67.87,0.1,23.97,23.86,24.12,0.26,-71.4,-71.45,-71.31,0.14,24.35,24.21,24.44,0.23,3.49,3.42,3.54,0.12,5.9,5.83,6,0.16
42,3-4,-76.67,-76.77,-76.58,0.18,27.03,26.89,27.19,0.3,-80.07,-80.16,-79.92,0.23,27.81,27.67,27.99,0.31,3.49,3.39,3.61,0.21,0,0,0,0
43,1-2,-70.58,-70.7,-70.53,0.17,15.06,14.8,15.25,0.44,-74.03,-74.14,-73.9,0.23,14.85,14.76,14.96,0.2,3.45,3.2,3.59,0.38,5.83,5.67,5.9,0.23
43,3-4,-79.49,-79.62,-79.42,0.2,16.91,16.8,17.05,0.25,-83.02,-83.11,-82.94,0.17,17.14,17.04,17.28,0.24,3.54,3.46,3.61,0.14,0,0,0,0
44,1-2,-71.83,-72.19,-71.7,0.48,5.43,4.49,5.78,1.29,-75.27,-75.41,-75.16,0.25,5.08,4.86,5.32,0.46,3.47,3.19,3.66,0.47,5.74,5.61,5.84,0.22
44,3-4,-80.9,-81.03,-80.84,0.18,6.26,6.07,6.42,0.34,-84.54,-84.67,-84.41,0.26,6.17,6.01,6.47,0.46,3.64,3.38,3.75,0.37,0,0,0,0
45,1-2,-71.67,-71.83,-71.58,0.25,-3.71,-3.85,-3.54,0.31,-75.29,-75.37,-75.04,0.32,-4.76,-4.96,-4.51,0.45,3.76,3.47,4.03,0.56,5.64,5.45,5.98,0.53
45,3-4,-80.92,-81.03,-80.78,0.25,-4.35,-4.55,-4.03,0.51,-84.65,-84.72,-84.48,0.23,-4.96,-5.17,-4.67,0.5,3.77,3.65,4.04,0.39,0,0,0,0
46,1-2,-70.6,-70.68,-70.54,0.14,-12.88,-13.1,-12.73,0.36,-73.75,-73.81,-73.69,0.12,-14.45,-14.59,-14.35,0.24,3.52,3.43,3.61,0.17,5.9,5.78,6.01,0.22
46,3-4,-79.65,-79.7,-79.55,0.15,-14.79,-14.97,-14.62,0.35,-82.98,-83.06,-82.93,0.12,-15.82,-15.98,-15.6,0.38,3.48,3.39,3.61,0.21,0,0,0,0
47,1-2,-68.24,-68.34,-68.15,0.19,-22.23,-22.37,-22.14,0.23,-71.36,-71.41,-71.33,0.07,-24.09,-24.26,-23.93,0.33,3.63,3.53,3.76,0.23,5.77,5.67,5.88,0.2
47,3-4,-77.04,-77.09,-76.95,0.14,-25.19,-25.33,-24.93,0.39,-80.32,-80.41,-80.12,0.28,-26.71,-26.83,-26.52,0.3,3.61,3.45,3.71,0.25,0,0,0,0
48,1-2,-64.59,-64.73,-64.48,0.25,-31.06,-31.14,-30.99,0.15,-67.39,-67.48,-67.34,0.14,-33.26,-33.42,-33.1,0.32,3.55,3.38,3.68,0.3,5.84,5.76,5.93,0.16
48,3-4,-72.99,-73.09,-72.89,0.2,-34.96,-35.06,-34.69,0.37,-75.92,-76.01,-75.84,0.17,-36.86,-36.99,-36.71,0.28,3.49,3.32,3.62,0.3,0,0,0,0
