SLOT,LAYER,AX_AVG,AX_MIN,AX_MAX,AX_ABS,AY_AVG,AY_MIN,AY_MAX,AY_ABS,BX_AVG,BX_MIN,BX_MAX,BX_ABS,BY_AVG,BY_MIN,BY_MAX,BY_ABS,C_AVG,C_MIN,C_MAX,C_ABS,JUMP_AVG,JUMP_MIN,JUMP_MAX,JUMP_ABS
21,3-4,-24.43,-24.92,-24.18,0.74,-46.44,-46.61,-46.17,0.43,-25.54,-25.62,-25.44,0.17,-49.13,-49.31,-48.97,0.34,2.91,2.79,3.13,0.33,0,0,0,0
22,1-2,-15.27,-15.37,-15.2,0.16,-42.57,-42.72,-42.36,0.35,-16.09,-16.22,-15.93,0.28,-45.09,-45.3,-44.92,0.37,2.64,2.6,2.76,0.15,4.52,4.28,4.99,0.71
22,3-4,-18.02,-18.54,-17.72,0.82,-49.18,-49.33,-48.95,0.37,-18.66,-18.79,-18.55,0.23,-51.97,-52.1,-51.83,0.27,2.86,2.73,3.21,0.48,0,0,0,0
23,1-2,-9.46,-9.6,-9.31,0.28,-44.26,-44.38,-43.77,0.6,-9.77,-9.94,-9.65,0.28,-47,-47.16,-46.88,0.27,2.75,2.6,3.33,0.73,4.39,4.16,4.57,0.41
23,3-4,-11.11,-11.38,-10.94,0.44,-51.19,-51.3,-51.05,0.25,-11.59,-11.68,-11.53,0.15,-54.03,-54.13,-53.95,0.17,2.88,2.77,3.02,0.25,0,0,0,0
24,1-2,-3.55,-3.76,-3.46,0.29,-45.05,-45.16,-44.9,0.25,-3.48,-3.65,-3.35,0.29,-47.75,-47.85,-47.66,0.19,2.7,2.6,2.76,0.15,4.42,4.21,4.72,0.5
24,3-4,-4.18,-4.54,-4.01,0.53,-52.11,-52.28,-51.88,0.39,-4.3,-4.38,-4.16,0.22,-55.07,-55.19,-55.01,0.17,2.96,2.79,3.17,0.37,0,0,0,0
25,1-2,2.56,2.41,2.76,0.34,-45.25,-45.38,-44.71,0.67,2.94,2.6,3.07,0.46,-47.89,-48.02,-47.58,0.44,2.67,2.61,2.87,0.26,4.43,4.26,4.62,0.36
25,3-4,2.95,2.6,3.23,0.62,-52.32,-52.51,-52.16,0.35,3.19,3.12,3.3,0.17,-55.26,-55.36,-55.19,0.17,2.95,2.76,3.13,0.37,0,0,0,0
26,1-2,8.67,8.48,8.82,0.33,-44.42,-44.61,-44.29,0.32,9.4,9.06,9.71,0.65,-47.09,-47.38,-46.8,0.58,2.77,2.52,3.03,0.5,4.37,4.19,4.54,0.34
